eventID,stem,event,details,wikipedia,mnemonic,itemDifficulty,categories,America,Europe,Asia,Africa,China,Discovery,Britain,France,Greek,India,Inventions,MiddleEast,prehistory,Religion,Roman,Royalty,Russia,Science,SouthAmerica,Wars,World,YearNum
36,305 BC ,Defeat of Seleucus at the hands of Chandragupta Maurya," Seleucus I Nicator, one of Alexander's Macedonian generals who in 312 BCE established the Seleucid Kingdom with its capital at Babylon, brought Persia and Bactria under his own authority, putting his eastern front facing the empire of Chandragupta. Seleucus and Chandragupta waged war until they came to an understanding with each other. Seleucus married off his daughter to Chandragupta to forge an alliance",https://en.wikipedia.org/wiki/Chandragupta_Maurya#War_and_marriage_alliance_with_Seleucus,,10,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,-305
37,305 BC,"The first Greek pharaoh of Egypt, Ptolemy I, takes over the reins and establishes the Ptolemaic dynasty.",,,,8,,,,,,,,,,1.0,,,,,,,,,,,,,-305
38,c. 265 BC ,Start of King Ashoka s reign in India,Assuming that the Buddha died in 483 BCE  a date proposed by several scholars  Ashoka must have ascended the throne in 265 BCE,https://en.wikipedia.org/wiki/Ashoka#Date_of_ascension,,9,,,,,,,,,,,1.0,,,1.0,,,,,,,,,-265
39,261 BC ,End of the conquest of Kalinga by King Ashoka of India.,"The Kalinga War (ended c.?261 BCE) was fought in ancient India between the Maurya Empire under Ashoka and the state of Kalinga, an independent feudal kingdom located on the east coast, in the present-day state of Odisha and northern parts of Andhra Pradesh. It is presumed that the battle was fought on Dhauli hills.",https://en.wikipedia.org/wiki/Kalinga_War,"4 Years after ascending to the throne, Ashoka fought with the Kalingas",10,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,-261
40,240 BC,Greek mathematician Eratosthenes measures the Earth's circumference.,,,,7,,,,,,,,,,1.0,,,,,,,,,,,,,-240
41,214 BC,Work on the Great Wall of China begins.,,,,8,,,,,,1.0,,,,,,,,1.0,,,,,,,,,-214
42,202 BC,Hannibal is defeated by Rome: the victory is essential to secure the survival and expansion of Roman civilisation,,,,7,"[prehistory, Roman,]",,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,-202
43,60 BC,"Roman leaders Pompey, Crassus, and Julius Caesar form the First Triumvirate.","The First Triumvirate was an informal alliance among three prominent politicians in the late Roman Republic: Gaius Julius Caesar, Gnaeus Pompeius Magnus and Marcus  Crassus.",https://en.wikipedia.org/wiki/First_Triumvirate,,7,,,,,,,,,,,,,,,,1.0,,,,,,,-60
44,55 BC,Julius Ceasar attacks Great Britain.,,,,5,"[prehistory, Roman,]",,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,-55
45,55 BC,Julius Caesar invades Britain.,,,,6,,,,,,,,,,,,,,,,1.0,,,,,1.0,,-55
46,49 BC,"Caesar crosses the Rubicon, precipitating the Roman Civil War.",,,,4,,,,,,,,,,,,,,,,1.0,,,,,1.0,,-49
47,48 BC,Battle of Pharsalus (Ceaser vs Pompey), The Battle of Pharsalus was the decisive battle of Caesar's Civil War fought on 9 August 48 BC near Pharsalus in central Greece. Julius Caesar and his allies formed up opposite the army of the Roman Republic under the command of Pompey. Pompey had the backing of a majority of Roman senators and his army significantly outnumbered the veteran Caesarian legions  but Pompey lost fled to Egypt and was murdered there.,https://en.wikipedia.org/wiki/Battle_of_Pharsalus,,5,,,,,,,,,,,,,,,,1.0,,,,,1.0,,-48
48,44 BC,"On the Ides of March (March 15), Caesar is assassinated.",,,,6,,,,,,,,,,,,,,,,1.0,,,,,,,-44
49,43 BC,"The 2nd Triumvirate, that of Marc Antony, Octavian, and M Aemillius Lepidus, is established.",,,,9,,,,,,,,,,,,,,,,1.0,,,,,,,-43
50,27 BC,Founding of the Roman Empire: this is the start of the classic period of Roman domination in Europe and the Mediterranean,,,,6,"[prehistory, Roman,]",,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,-27
51,c.5 BC,"Birth of Jesus Christ, founder of the many branches of Christianity. The exact date is disputed",,,,3,,,,,,,,,,,,,,,1.0,,,,,,,1.0,-5
52,29,Crucifixion of Jesus Christ.,,,,3,,,,,,,,,,,,,,,1.0,1.0,,,,,,,29
53,33,Judean philosopher Jesus is executed by Rome and his followers continue.,"According to the canonical gospels, Jesus was arrested and tried by the Sanhedrin, and then by Pontius Pilate, who sentenced him to be scourged, and finally crucified by the Romans",https://en.wikipedia.org/wiki/Crucifixion_of_Jesus,"Believed to be April 3, 33. Friday a day of lunar eclipse.",3,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,33
54,64,Rome burns while Nero (supposedly) fiddles.,"The popular legend that Nero played the fiddle while Rome burned ""is at least partly a literary construct of Flavian propaganda. Nero was egotistical, unpopular and built a temple to himself on the site of the fire, leading to this assertion about him ""fiddling.""",https://en.wikipedia.org/wiki/Nero#Great_Fire_of_Rome,Fire started in 64. Nero was done by 68,6,,,1.0,,,,,,,,,,,,,1.0,,,,,,,64
55,79,Mount Vesuvius erupts burying the Roman cities of Pompeii and Herculaneum.,"In the autumn of 79 AD, Mount Vesuvius violently spewed forth a deadly cloud of super-heated gases to a height of 33 km (21 mi), ejecting molten rock, pulverized pumice and hot ash, ultimately releasing 100,000 times the thermal energy of the Hiroshima bomb.",https://en.wikipedia.org/wiki/Eruption_of_Mount_Vesuvius_in_79_AD,"Emperor Titus started his rule in 79, and a coin found in Pompeii was from that time. ",3,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,79
56,105,"First use of modern paper: this replaced stone, slate, papyrus and vellum as a cheap and convenient medium",,,,8,,,,,,,,,,,,,,,,,,,,,,1.0,105
57,122,"Roman soldiers begin building Hadrian's Wall, a defensive structure that will eventually stretch 70 miles across Northern England and marks the northern limit of the empire in Great Britain.","Hadrian's Wall is a former defensive fortification of the Roman province of Britannia, begun in AD 122 in the reign of the emperor Hadrian",https://en.wikipedia.org/wiki/Hadrian%27s_Wall,"In 122, Hadrian (emperor since 117) decided to end the empire's expansion, and commissioned the wall.",7,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,122
58,280,Unification of China under the Western Chin dynasty creates the political shape of modern China,,,,8,,,,,,1.0,,,,,,,,,,,,,,,,,280
59,312,Roman Emperor Constantine converts to Christianity: this made it possible for Christianity to spread across Europe,,,,3,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,312
60,320,"Commencement of Gupta era, the Golden Age of ancient India",,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,320
61,324,Constantine the Great establishes his capital at Byzantium (Constantinople).,"In 324, the ancient city of Byzantium was renamed ""New Rome"" and declared the new capital of the Roman Empire by Emperor Constantine the Great",https://en.wikipedia.org/wiki/Constantine_the_Great#Foundation_of_Constantinople,"In 324, Byzantium was chosen as the capital, because of the strategic importance of the East.",5,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,324
62,375,Huns' invasion of Europe.,,,,8,,,1.0,,,,,,,,,,,,,,,,,,1.0,,375
63,380,Accession of Vikramaditya,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,380
64,476,Fall of the Roman Empire in the West ends 800 years of Roman hegemony. The creation of moderen Europe begins,,,,3,,,1.0,,,,,,,,,,,,,,,,,,,1.0,476
65,476,"Arguably, the western Roman Empire ends when Emperor Romulus Augustulus is removed from office."," In 476, the Germanic leader Odoacer staged a revolt and deposed the Emperor Romulus Augustulus. From then on, no Roman emperor would ever again rule from a post in Italy, leading many to cite 476 as the year the Western Empire suffered its deathblow.",https://en.wikipedia.org/wiki/Fall_of_the_Western_Roman_Empire,"Exactly 1300 years after the end of the Roman empire, America gains independence.",5,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,476
66,529,"St Benedict of Nursia, Italy founded the Benedictine order","The monastery at Subiaco in Italy, established by Benedict of Nursia c.529, was the first of the dozen monasteries he founded",https://en.wikipedia.org/wiki/Benedictines,,10,,,1.0,,,,,,,,,,,,1.0,,,,,,,,529
67,570,Prophet Mohammed born at Mecca.,,,,2,"[Islam, ]",,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,570
68,c.AD 570,"Birth of Muhammad, founder of one of the world's great religions",,,,3,"[Islam, ]",,,,,,,,,,,,,,1.0,,,,,,,,570
69,622,Flight of Mohammed from Mecca to Madina.,,,,6,"[Islam, ]",,,1.0,,,,,,,,,,,1.0,,,,,,,,622
70,632,Death of Mohammed; Beginning of Hijiri Era.,,,,6,"[Islam, ]",,,1.0,,,,,,,,,,,1.0,,,,,,,,632
71,711,Arabs invade Spain.,,https://en.wikipedia.org/wiki/Arabs_in_Europe#Arab_occupation_of_Iberian_Peninsula,,8,"[Islam, ]",,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,711
72,712,First invasion in Sind by Arabs,,,,9,,,,,,,,,,,1.0,,,,,,,,,,1.0,,712
73,c.AD 730,Printing invented in China: an essential step in mass communication/ administration/cultural dissemination,,,,8,,,,,,1.0,,,,,,,,,,,,,,,,1.0,730
74,800,"Charlemagne crowned Emperor of the new Western Empire. This marked the point at which Europe began to reintegrate. The Holy Roman Empire lasts for 1,000 years",,,,7,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,800
75,836,Accession of King Bhoja of Kanauj,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,836
76,882,Vikings founded Russia - settling in Kiev,"Oleg of Novgorod is credited with seizing power in Kiev (Kyiv), and he was the supreme ruler of the Rus' from 882 to 912.",https://en.wikipedia.org/wiki/Oleg_of_Novgorod,,10,,,1.0,,,,,,,,,,,,,,,1.0,,,,,882
77,985,"Accession of Rajaraja, the Chola ruler",,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,985
78,998,Accession of Sultan Mahmud,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,998
79,c. 1000,Lief Erikson believed to have set foot in North America,"Leif Erikson was a Norse explorer who is thought to have been the first European to have set foot on continental   North America, approximately half a millennium before   Christopher Columbus",https://en.wikipedia.org/wiki/Leif_Erikson,,5,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,1000
80,1001,"First invasion of India by Mahmud Ghazni who defeated Jaipal, ruler of Punjab",,,,9,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1001
81,1054,Schism of Greek and Latin Christian Churches divides Christianity permanently into two geographical and denominational halves,,,,7,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1054
82,1066,Norman invasion of England; Victory of William the Conquerer over the English King Harold II at Hastings.,,,,2,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1066
83,1066,The battle of Hastings and the Norman conquest,,,,2,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1066
84,1078,Tower of London was built,Work on the White Tower which gives the whole castle its name is usually considered to have begun in 1078,https://en.wikipedia.org/wiki/Tower_of_London,,7,,,,,,,,1.0,,,,,,,,,,,,,,,1078
85,1088,"First university founded in Bologna, Italy: the start of a modern conception of higher learning and universal knowledge",,,,7,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1088
86,1095,The First Crusade is decreed. The start of European Christian knights mounting successive military campaigns in attempts to conquer the Holy Land.,,,,6,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1095
87,1095,The first crusade.,"The First Crusade (1096-1099) was the first of a series of religious wars, or Crusades, initiated, supported and at times directed by the Latin Church in the medieval period.",https://en.wikipedia.org/wiki/First_Crusade,,7,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,1095
88,1150,University of Paris established in France.,"In 1150, the future University of Paris was a student-teacher corporation operating as an annex of the Notre-Dame cathedral school",https://en.wikipedia.org/wiki/University_of_Paris#Origins,,8,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1150
89,1192,Second Battle of Tarain,"The Second Battle of Tarain was fought in 1192 CE between the Ghurid forces of Muhammad Ghuri and the Rajput Confederacy of Prithviraj Chauhan. It took place near Tarain (modern Taraori), which is 110 kilometres (68 mi), north of Delhi. The battle ended in decisive victory for invading Ghurids and their successful penetration in north Indian plain",https://en.wikipedia.org/wiki/Second_Battle_of_Tarain,,10,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1192
90,1206,Genghis Khan begins his conquest of Asia. This has a major impact on Asian development and the movement of peoples,,,,6,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1206
91,1206,Accession of Qutub-ud-din Aibak to the throne of Delhi,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1206
92,1215,Magna Carta signed by King John at Runnymede: this is the origin of the modern concept of constitutional rule,,,,3,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1215
93,1221,Genghis Khan invaded India (Mongol invasion),,,,9,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1221
94,1236,Accession of Razia Sultan to the throne of Delhi,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1236
95,1271,"Marco Polo sets off for Asia, with his father and uncle.","Marco Polo was an explorer, and writer who travelled through Asia along the Silk Road between 1271 and 1295. His travels are recorded in   The Travels of Marco Polo",https://en.wikipedia.org/wiki/Marco_Polo#Early_life_and_Asian_travel,,8,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1271
96,1280,Roger Bacon invents gunpowder.,,,,6,"[Britain, Middle Ages, ]",,1.0,,,,,1.0,,,,,,,,,,,,,,,1280
97,1296,Accession of Ala-ud-din Khalji,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1296
98,1314,The battle of Bannockburn in which the Scottish leader Robert the Bruce took on the English king Edward II in a pivotal conflict in Scotland's fight for independence.,,,,8,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1314
99,1325,Accession of Muhammad-bin Tughlaq,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1325
100,1327,Shifting of Capital from Delhi to Daulatabad to Deccan by the Tughlaq,,,,9,,,,,,,,,,,1.0,,,,,,,,,,,,1327
101,1336,Foundation of Vijayanagar empire in South India,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1336
102,1338,The Hundred years War broke out.,,,,7,"[Wars, Britain, France, Middle Ages]",,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,1338
103,1348,England faces Black Death Plague.,"The summer of 1348 saw the first outbreak of the bubonic plague in England, leading to an epidemic of huge proportions. The disease is estimated to have killed between a third and a half of the population    a devastating and unprecedented death rate.",,,6,"[Britain,]",,1.0,,,,,,,,,,,,,,,,,,,,1348
104,1351,Accession of Feroz Shah,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1351
105,1398,Invasion of India by Timur Lang,,,,8,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1398
106,1453,Turks captured Constantinople; Renaissance in Europe.,,,,4,"[Middle Ages, ]",,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1453
107,1453,"Fall of Constantinople to the Ottoman Turks: Almost 500 years of Turkish domination of the Eastern Mediterranean, North Africa and the Middle East begins",,,,4,"[Middle Ages, ]",,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,1453
108,1455,First book printed with moveable type: Johannes Gutenberg's revolution in printing technology makes mass-market reading possible,,,The Fall of Constantinople and Guttenberg happened around the same time. ~2 years of each other,6,"[Middle Ages, ]",,1.0,,,,,,,,,,,,,,,,,,,1.0,1455
109,1469,Birth of Guru Nanak,,,,8,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1469
110,1490,"Leonard da Vinci draws the ""Vitruvian Man"" showing proportions of the human body.","The drawing, which is in ink on paper, depicts a man in two superimposed positions with his arms and legs apart and inscribed in a circle and square.",https://en.wikipedia.org/wiki/Vitruvian_Man,,7,"[Renaissance, ]",,1.0,,,,,,,,,,,,,,,,,,,,1490
111,1492,Discovery of America by Columbus.,,,,1,"[America, ]",1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1492
112,1492,"Christopher Columbus discovers the New World, bringing the Americas into a global trading/cultural system",,,,1,"[America, ]",1.0,1.0,,,,,,,,,,,,,,,,,,,,1492
113,1494,Accession of Babur in Ferghana,,,,7,,,,,,,,,,,1.0,,,,,,,,,,,,1494
114,1498,First voyage of Vasco da Gama to India (discovery of sea route to India via the Cape of Good Hope.),,,,3,,,,,,,,,,,1.0,,,,,,,,,,,,1498
115,1498,Sea-route to India discovered by Vasco-de-Gama.,,,,3,"[India, ]",,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1498
116,1509,"Invention of the watch: essential to a modern economy and administration, this introduces the concept of regular timekeeping",,,,7,"[Inventions, ]",,1.0,,,,,,,,,,,,,,,,,,,1.0,1509
117,1517,Martin Luther launches the Reformation. It is the start of Protestant Christianity and the idea of religious individualism,,,"Gutterberg's printing press (~1450) gave wider access to the Bible, which in turn led to alternative interpretations, including that of Martin Luther, whose ""95 Theses"" a document printed by the hundred-thousand sparked the Protestant Reformation. ",4,"[Christianity, ]",,1.0,,,,,,,,,,,,1.0,,,,,,,,1517
118,1519,"Cortes begins his conquest of South America, which becomes part of the wider world economic and political system",,,,5,"[Latin America, ]",,,,,,,,,,,,,,,,,,,,,1.0,1519
119,1526,The Mughals empire begings. The Mughals from Central Asia began to rule parts of India,,,,6,"[India, Empire, Asia, ]",,,,,,,,,,1.0,,,,,,,,,,,,1526
120,1526,"First Battle of Panipat, Babur defeated Ibrahim Lodi; Foundation of Mughal rule by Babur",,,,9,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1526
121,1530,Death of Babur and accession of Humayun,,,,9,,,,,,,,,,,1.0,,,,,,,,,,,,1530
122,1539,Sher Shah Suri defeated Humayun and became India's emperor,,,,10,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1539
123,1543,Copernicus publishes his Heliocentric theory -- that planents revolve around the sun,"This model positioned the Sun at the center of the Universe, motionless, with Earth and the other planets orbiting around it in circular paths, modified by epicycles, and at uniform speeds. The Copernican model displaced the geocentric model of Ptolemy that had prevailed for centuries, which had placed Earth at the center of the Universe.",,,7,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1543
124,1555,Humayun recaptured the throne of Delhi,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1555
125,1556,Second Battle of Panipat,,,,10,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1556
126,1564,William Shakespeare is born: his plays make fundamental statements about the human condition,,,,4,"[Britain, Literature, ]",,1.0,,,,,1.0,,,,,,,,,,,,,,,1564
127,1576,Battle of Haldighati; Rana Pratap defeated by Akbar,,,,10,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1576
128,1582,Din-e-Illahi founded by Akbar,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1582
129,1588,Spanish Armada defeated.,,,,5,"[Europe, Spain, ",,1.0,,,,,,,,,,,,,,,,,,1.0,,1588
130,1600,British East India Company established in India.,,,,6,"[Britain, India, ]",,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,1600
131,1600,East India Company established,,,,5,,,,,,,,,,,1.0,,,,,,,,,,,,1600
132,1603,Death of Queen Elizabeth I.,"Her reign is famous for the defeat of the Armada, and for successful raids against the Spanish. Elizabeth established an English church that helped shape a national identity and remains in place today",https://en.wikipedia.org/wiki/Elizabeth_I#Death,,5,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,1603
133,1605,Death of Akbar and accession of Jahangir,,,,9,,,,,,,,,,,1.0,,,,,,,,,,,,1605
134,1606,Execution of Sikh Guru Arjan Dev by the Mughals,"Guru Arjan was arrested under the orders of the Mughal Emperor Jahangir and asked to convert to Islam. He refused, was tortured and executed in 1606 CE",https://en.wikipedia.org/wiki/Guru_Arjan#Death,,10,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1606
135,1609,Kepler discovers that planets have elliptical orbits,"Kepler discovered that the orbit of Mars was an ellipse. In 1609 he published Astronomia Nova, delineating his discoveries, which are now called Kepler's first two laws of planetary motion.",,,6,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1609
136,1611,Jahangir marries Nur Jahan,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1611
137,1620,"Mayflower arrives in America -- Pilgrims arrived at Cape Cod, carrying passengers from England.","Mayflower arrived in New England on November 11, 1620 after a voyage of 66 days. Although the Pilgrims had originally intended to settle near the Hudson River in New York, dangerous shoals and poor winds forced the ship to seek shelter at Cape Cod.",https://en.wikipedia.org/wiki/Mayflower,"The puritans wanted to ""purify"" England's Anglician church. QE1 and King James (in the early 1600's) ""Persecuted"" them.",3,,,,,,,,,,,,,,,1.0,,,,,,,,1620
138,1627,Birth of Shivaji and death of Jahangir,,,,9,,,,,,,,,,,1.0,,,,,,,,,,,,1627
139,1628,Shah Jahan becomes emperor of India,,,,9,,,,,,,,,,,1.0,,,,,,,,,,,,1628
140,1631,Death of Mumtaj Mahal,,,,9,,,,,,,,,,,1.0,,,,,,,,,,,,1631
141,1632,"Galileo publishes a book claiming that the planets moved around the sun (Heliocentric), and angering the then pope.","In 1632 Galileo angered the Pope when he published a book in which he openly stated that the Earth was moving around the Sun. He was put on trial by the Inquisition in Rome, where he was found suspect of heresy, and forced to say that all of his findings were wrong",,,7,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1632
142,1634,The British permitted to trade in India in Bengal,,,,10,,,,,,,,,,,1.0,,,,,,,,,,,,1634
